City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Whitehorse,CA,60.7161,-135.0538,55.02,66,100,11.01,overcast clouds
81,Te Anau,NZ,-45.4167,167.7167,37.76,95,100,3.83,moderate rain
82,Dicabisagan,PH,17.0818,122.4157,79.0,83,96,6.44,overcast clouds
83,Sikonge,TZ,-5.6333,32.7667,71.74,46,92,4.16,overcast clouds
84,Caravelas,BR,-17.7125,-39.2481,74.23,77,66,5.77,broken clouds
85,San Juan,AR,-31.5375,-68.5364,55.87,35,100,3.42,overcast clouds
86,Saint Anthony,US,45.0205,-93.218,80.53,30,20,10.36,few clouds
87,Ilulissat,GL,69.2167,-51.1,37.42,81,75,4.61,broken clouds
88,Hilo,US,19.7297,-155.09,82.27,70,100,12.66,overcast clouds
89,Kieta,PG,-6.2167,155.6333,77.88,81,9,2.51,clear sky
90,Salto,UY,-31.3833,-57.9667,51.96,35,0,13.8,clear sky
91,Thompson,CA,55.7435,-97.8558,74.26,24,6,9.26,clear sky
92,Beloha,MG,-25.1667,45.05,63.97,94,0,5.77,clear sky
93,Minab,IR,27.1467,57.0801,89.78,54,0,3.29,clear sky
94,East London,ZA,-33.0153,27.9116,61.99,75,0,8.66,clear sky
95,Zaysan,KZ,47.4667,84.8667,69.53,31,0,6.46,clear sky
96,Khatanga,RU,71.9667,102.5,39.7,76,100,8.37,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,69.53,70,1,7.85,clear sky
98,Birjand,IR,32.8663,59.2211,78.19,19,0,12.3,clear sky
99,Hobyo,SO,5.3505,48.5268,79.39,77,65,24.85,broken clouds
100,Hithadhoo,MV,-0.6,73.0833,84.36,70,68,11.81,broken clouds
101,Mitzic,GA,0.7821,11.549,70.83,92,91,1.7,overcast clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,47.08,86,75,14.97,light rain
103,Faya,SA,18.3851,42.4509,72.12,13,0,7.25,clear sky
104,Adre,TD,13.4667,22.2,86.67,38,81,5.82,broken clouds
105,Antofagasta,CL,-23.65,-70.4,58.28,75,84,6.42,broken clouds
106,Provideniya,RU,64.3833,-173.3,48.31,34,100,8.32,overcast clouds
107,Kiunga,PG,-6.1219,141.2906,73.33,100,100,0.78,overcast clouds
108,Lebu,CL,-37.6167,-73.65,53.31,66,6,11.07,clear sky
109,Tasiilaq,GL,65.6145,-37.6368,42.96,70,56,5.77,broken clouds
110,Chowchilla,US,37.123,-120.2602,102.02,28,0,5.75,clear sky
111,Iqaluit,CA,63.7506,-68.5145,52.7,54,1,15.01,clear sky
112,Ornskoldsvik,SE,63.2909,18.7153,50.99,95,90,3.24,overcast clouds
113,Preobrazheniye,RU,42.9019,133.9064,50.68,96,97,8.39,overcast clouds
114,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,78,41,10.04,scattered clouds
115,Iskateley,RU,67.6803,53.1512,42.73,83,100,18.43,light rain
